param_type,sim_id,coverage_95,coverage_90
abc,252,0.9666666666666667,0.9666666666666667
lstm,252,0.8166666666666667,0.75
abc,253,0.9333333333333333,0.9333333333333333
lstm,253,0.65,0.6166666666666667
abc,254,1,1
lstm,254,0.8833333333333333,0.8833333333333333
abc,255,0.8333333333333334,0.8333333333333334
lstm,255,0.55,0.5166666666666667
abc,256,0.7333333333333333,0.7333333333333333
lstm,256,0.4166666666666667,0.4166666666666667
abc,257,0.8333333333333334,0.8333333333333334
lstm,257,0.5333333333333333,0.4666666666666667
abc,258,0.9333333333333333,0.9333333333333333
lstm,258,0.8333333333333334,0.8166666666666667
abc,259,0.9333333333333333,0.9333333333333333
lstm,259,0.7166666666666667,0.7
abc,260,1,1
lstm,260,0.9,0.9
abc,261,0.95,0.95
lstm,261,0.9,0.9
abc,262,1,1
lstm,262,1,1
abc,263,0.9333333333333333,0.9333333333333333
lstm,263,0.65,0.65
abc,264,1,1
lstm,264,1,1
abc,265,0.9,0.9
lstm,265,0.7833333333333333,0.7666666666666667
abc,266,1,1
lstm,266,0.9833333333333333,0.9833333333333333
abc,267,0.9333333333333333,0.9333333333333333
lstm,267,0.9666666666666667,0.9666666666666667
abc,268,0.9833333333333333,0.9833333333333333
lstm,268,0.9833333333333333,0.9833333333333333
abc,269,0.9333333333333333,0.9333333333333333
lstm,269,0.8,0.7666666666666667
abc,270,0.9333333333333333,0.9333333333333333
lstm,270,0.9166666666666666,0.9
abc,271,0.9166666666666666,0.9166666666666666
lstm,271,0.9166666666666666,0.9166666666666666
abc,272,0.9333333333333333,0.9166666666666666
lstm,272,0.9,0.9
abc,273,0.95,0.95
lstm,273,0.43333333333333335,0.36666666666666664
abc,274,1,1
lstm,274,1,1
abc,275,1,1
lstm,275,1,1
abc,276,0.9666666666666667,0.9666666666666667
lstm,276,0.9833333333333333,0.9833333333333333
abc,277,1,1
lstm,277,0.95,0.95
abc,278,0.8333333333333334,0.8333333333333334
lstm,278,0.5166666666666667,0.4666666666666667
abc,279,0.9166666666666666,0.9166666666666666
lstm,279,0.48333333333333334,0.36666666666666664
abc,280,0.9333333333333333,0.9333333333333333
lstm,280,0.9666666666666667,0.9666666666666667
abc,281,0.95,0.95
lstm,281,1,1
abc,282,1,1
lstm,282,1,1
abc,283,1,0.9833333333333333
lstm,283,0.6666666666666666,0.65
abc,284,0.95,0.95
lstm,284,0.95,0.9166666666666666
abc,285,0.95,0.95
lstm,285,0.65,0.55
abc,286,0.95,0.95
lstm,286,0.9333333333333333,0.9333333333333333
abc,287,0.9666666666666667,0.95
lstm,287,0.9833333333333333,0.9833333333333333
abc,288,0.9,0.9
lstm,288,0.9333333333333333,0.9166666666666666
abc,289,0.9833333333333333,0.9833333333333333
lstm,289,1,1
abc,290,0.9833333333333333,0.9833333333333333
lstm,290,0.7166666666666667,0.6833333333333333
abc,291,1,1
lstm,291,1,1
abc,292,0.9666666666666667,0.9666666666666667
lstm,292,0.9166666666666666,0.9
abc,293,0.9333333333333333,0.9333333333333333
lstm,293,0.95,0.95
abc,294,0.9166666666666666,0.9166666666666666
lstm,294,0.8833333333333333,0.8833333333333333
abc,295,1,1
lstm,295,0.9666666666666667,0.9666666666666667
abc,296,0.9666666666666667,0.9666666666666667
lstm,296,0.9,0.9
abc,297,0.8,0.8
lstm,297,0.5166666666666667,0.4166666666666667
abc,298,0.8833333333333333,0.8833333333333333
lstm,298,0.8,0.8
abc,299,0.85,0.85
lstm,299,0.5,0.4166666666666667
abc,300,0.85,0.85
lstm,300,0.9,0.9
abc,301,0.45,0.38333333333333336
lstm,301,0.9833333333333333,0.9833333333333333
abc,302,0.9666666666666667,0.9666666666666667
lstm,302,0.9666666666666667,0.95
abc,303,0.9,0.9
lstm,303,0.9333333333333333,0.9333333333333333
abc,304,0.9333333333333333,0.9333333333333333
lstm,304,1,1
abc,305,0.9,0.9
lstm,305,0.9,0.85
abc,306,0.9166666666666666,0.9166666666666666
lstm,306,0.7333333333333333,0.7166666666666667
abc,307,0.7333333333333333,0.7333333333333333
lstm,307,0.6666666666666666,0.6666666666666666
abc,308,0.9166666666666666,0.9166666666666666
lstm,308,0.9,0.9
abc,309,1,1
lstm,309,0.9833333333333333,0.9833333333333333
abc,310,0.9666666666666667,0.9666666666666667
lstm,310,0.95,0.95
abc,311,0.95,0.95
lstm,311,0.9833333333333333,0.9833333333333333
abc,312,1,1
lstm,312,0.7833333333333333,0.7666666666666667
abc,313,0.9333333333333333,0.9333333333333333
lstm,313,0.95,0.9333333333333333
abc,314,0.9166666666666666,0.9166666666666666
lstm,314,0.9333333333333333,0.9333333333333333
abc,315,0.9333333333333333,0.9333333333333333
lstm,315,0.8833333333333333,0.8833333333333333
abc,316,0.9166666666666666,0.9166666666666666
lstm,316,0.5,0.48333333333333334
abc,317,0.95,0.95
lstm,317,0.9666666666666667,0.9666666666666667
abc,318,0.8166666666666667,0.8
lstm,318,0.38333333333333336,0.38333333333333336
abc,319,0.9333333333333333,0.9333333333333333
lstm,319,0.7,0.6833333333333333
abc,320,0.95,0.95
lstm,320,0.8166666666666667,0.8
abc,321,0.9333333333333333,0.9333333333333333
lstm,321,0.9333333333333333,0.9333333333333333
abc,322,0.9666666666666667,0.9666666666666667
lstm,322,0.6833333333333333,0.6
abc,324,0.9833333333333333,0.9833333333333333
lstm,324,0.9166666666666666,0.9166666666666666
abc,325,0.9833333333333333,0.9833333333333333
lstm,325,0.9833333333333333,0.9833333333333333
abc,326,0.8833333333333333,0.8833333333333333
lstm,326,0.95,0.95
abc,327,0.9666666666666667,0.9666666666666667
lstm,327,0.9833333333333333,0.9833333333333333
abc,328,0.9333333333333333,0.9333333333333333
lstm,328,0.5833333333333334,0.5166666666666667
abc,329,0.9333333333333333,0.9333333333333333
lstm,329,0.7,0.6333333333333333
abc,330,0.8666666666666667,0.8666666666666667
lstm,330,0.7833333333333333,0.7666666666666667
abc,331,1,1
lstm,331,0.4666666666666667,0.45
abc,332,0.9333333333333333,0.9333333333333333
lstm,332,0.7,0.65
abc,333,1,1
lstm,333,0.9833333333333333,0.9833333333333333
abc,334,0.9833333333333333,0.9833333333333333
lstm,334,0.9833333333333333,0.9833333333333333
abc,335,0.95,0.95
lstm,335,0.95,0.95
abc,336,0.9333333333333333,0.9333333333333333
lstm,336,0.9833333333333333,0.9666666666666667
abc,337,0.9,0.8833333333333333
lstm,337,0.36666666666666664,0.3
abc,338,0.9333333333333333,0.9333333333333333
lstm,338,0.9666666666666667,0.9666666666666667
abc,339,0.9666666666666667,0.9666666666666667
lstm,339,0.9333333333333333,0.9333333333333333
abc,340,0.8,0.8
lstm,340,1,1
abc,341,0.9166666666666666,0.9166666666666666
lstm,341,0.9166666666666666,0.9166666666666666
abc,342,0.9833333333333333,0.9833333333333333
lstm,342,0.6333333333333333,0.6333333333333333
abc,343,0.8666666666666667,0.8666666666666667
lstm,343,0.6,0.5166666666666667
abc,344,1,1
lstm,344,1,0.9833333333333333
abc,345,1,1
lstm,345,0.9666666666666667,0.9666666666666667
abc,346,0.8666666666666667,0.8333333333333334
lstm,346,0.35,0.3333333333333333
abc,347,0.65,0.6166666666666667
